ggml_cuda_init: GGML_CUDA_FORCE_MMQ:    no
ggml_cuda_init: GGML_CUDA_FORCE_CUBLAS: no
ggml_cuda_init: found 8 CUDA devices:
  Device 0: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 1: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 2: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 3: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 4: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 5: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 6: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 7: NVIDIA L40S, compute capability 8.9, VMM: yes

Computing statistics for /shared/user68/workspace/bobchenyx/moe-ne/llama.cpp/imatrix.gguf (384 tensors)

 Layer	       Tensor	          Σ(Act²)	  Min	            Max	           μ	   σ	 % Active	N	   Entropy	E (norm)	ZD	  CosSim
   11	attn_k              	      3.02	  0.0000	     0.2956	  0.00	  0.01	  100.00%	  2048	    7.9080	 71.89%	      1.22%	  0.9762
    9	attn_k              	      2.99	  0.0001	     0.2676	  0.00	  0.01	  100.00%	  2048	    8.2061	 74.60%	      1.46%	  0.9420
    6	attn_k              	      2.94	  0.0000	     0.3032	  0.00	  0.01	   99.95%	  2048	    8.5999	 78.18%	      1.17%	  0.9757
   10	attn_k              	      2.67	  0.0000	     0.2165	  0.00	  0.01	   99.95%	  2048	    8.1701	 74.27%	      1.27%	  0.9591
    7	attn_k              	      2.00	  0.0000	     0.1744	  0.00	  0.01	  100.00%	  2048	    8.9125	 81.02%	      1.46%	  0.9665
    4	attn_k              	      1.98	  0.0000	     0.2868	  0.00	  0.01	   99.95%	  2048	    7.7429	 70.39%	      1.07%	  0.9020
    5	attn_k              	      1.79	  0.0001	     0.2561	  0.00	  0.01	  100.00%	  2048	    8.1271	 73.88%	      1.17%	  0.9566
    2	attn_k              	      0.54	  0.0000	     0.0844	  0.00	  0.00	   99.71%	  2048	    8.1105	 73.73%	      1.03%	  0.6052
    1	attn_k              	      0.33	  0.0000	     0.0473	  0.00	  0.00	   76.81%	  2048	    7.8578	 71.43%	      0.83%	  0.3215
    0	attn_k              	      0.15	  0.0000	     0.0116	  0.00	  0.00	   18.12%	  2048	    7.3403	 66.73%	      2.83%	  0.0000
   47	attn_output         	    633.99	  0.0011	    13.6534	  0.15	  0.69	  100.00%	  4096	    9.9275	 82.73%	      1.29%	  0.0195
   46	attn_output         	    130.37	  0.0011	    11.1605	  0.03	  0.25	  100.00%	  4096	    9.9555	 82.96%	      0.49%	  0.0647
   42	attn_output         	    110.42	  0.0000	     0.8504	  0.03	  0.03	  100.00%	  4096	   11.4047	 95.04%	      9.38%	  0.2784
   41	attn_output         	     69.88	  0.0000	     0.8475	  0.02	  0.03	  100.00%	  4096	   10.9300	 91.08%	      7.71%	  0.2639
   40	attn_output         	     59.94	  0.0019	     0.3565	  0.01	  0.02	  100.00%	  4096	   11.3520	 94.60%	      9.69%	  0.4905
   43	attn_output         	     59.85	  0.0015	     0.9082	  0.01	  0.03	  100.00%	  4096	   11.1108	 92.59%	      6.84%	  0.2212
   38	attn_output         	     46.53	  0.0007	     0.3563	  0.01	  0.02	  100.00%	  4096	   11.0941	 92.45%	      9.06%	  0.2412
   44	attn_output         	     43.14	  0.0005	     0.5098	  0.01	  0.02	  100.00%	  4096	   10.9417	 91.18%	      7.67%	  0.4378
   45	attn_output         	     38.50	  0.0023	     0.3327	  0.01	  0.02	  100.00%	  4096	   11.4485	 95.40%	      2.42%	  0.2802
   39	attn_output         	     25.89	  0.0008	     0.1137	  0.01	  0.01	  100.00%	  4096	   11.3586	 94.66%	      9.64%	  0.4003
   37	attn_output         	     24.16	  0.0002	     1.0640	  0.01	  0.02	  100.00%	  4096	   10.8438	 90.36%	      3.27%	  0.1192
   36	attn_output         	     17.81	  0.0003	     0.3483	  0.00	  0.01	  100.00%	  4096	   10.9119	 90.93%	      7.40%	  0.2004
   35	attn_output         	     14.03	  0.0000	     0.1005	  0.00	  0.01	  100.00%	  4096	   11.1549	 92.96%	      8.91%	  0.3597
   33	attn_output         	     13.91	  0.0003	     0.1070	  0.00	  0.01	  100.00%	  4096	   11.1222	 92.68%	      7.30%	  0.2549
   34	attn_output         	     12.22	  0.0000	     0.0738	  0.00	  0.00	   98.78%	  4096	   11.1609	 93.01%	      7.71%	  0.2607
   26	attn_output         	     10.31	  0.0001	     0.0428	  0.00	  0.00	  100.00%	  4096	   11.1055	 92.55%	     11.38%	  0.2141
   28	attn_output         	      9.36	  0.0003	     0.0600	  0.00	  0.00	  100.00%	  4096	   11.3716	 94.76%	      9.08%	  0.4544
   32	attn_output         	      9.29	  0.0002	     0.0962	  0.00	  0.00	  100.00%	  4096	   11.1876	 93.23%	      5.30%	  0.2400
   30	attn_output         	      8.71	  0.0000	     0.1853	  0.00	  0.00	   98.54%	  4096	   10.9022	 90.85%	      5.62%	  0.1580
   29	attn_output         	      8.03	  0.0000	     0.1148	  0.00	  0.00	   97.85%	  4096	   10.8981	 90.82%	      6.81%	  0.1988
   31	attn_output         	      7.94	  0.0002	     0.0746	  0.00	  0.00	  100.00%	  4096	   11.2308	 93.59%	      8.18%	  0.1804
   27	attn_output         	      7.35	  0.0002	     0.0298	  0.00	  0.00	  100.00%	  4096	   11.4073	 95.06%	      9.69%	  0.4717
   25	attn_output         	      7.34	  0.0001	     0.2453	  0.00	  0.00	  100.00%	  4096	   10.9005	 90.84%	      5.64%	  0.2159
   24	attn_output         	      6.23	  0.0001	     0.0377	  0.00	  0.00	  100.00%	  4096	   11.2684	 93.90%	     10.35%	  0.3039
   23	attn_output         	      5.65	  0.0000	     0.0692	  0.00	  0.00	   98.56%	  4096	   11.1116	 92.60%	      8.33%	  0.2916
   21	attn_output         	      5.64	  0.0001	     0.0413	  0.00	  0.00	  100.00%	  4096	   11.1014	 92.51%	      7.81%	  0.1946
   22	attn_output         	      5.51	  0.0000	     0.0415	  0.00	  0.00	   97.24%	  4096	   11.0676	 92.23%	      6.05%	  0.2162
   20	attn_output         	      3.84	  0.0001	     0.0549	  0.00	  0.00	  100.00%	  4096	   11.0040	 91.70%	      4.05%	  0.1875
   19	attn_output         	      3.57	  0.0001	     0.0233	  0.00	  0.00	  100.00%	  4096	   11.1301	 92.75%	     10.01%	  0.1686
   18	attn_output         	      3.44	  0.0000	     0.0451	  0.00	  0.00	   99.93%	  4096	   10.7668	 89.72%	     10.57%	  0.1430
   14	attn_output         	      3.25	  0.0000	     0.0141	  0.00	  0.00	   99.29%	  4096	   10.7619	 89.68%	     10.89%	  0.3435
   17	attn_output         	      2.55	  0.0000	     0.0329	  0.00	  0.00	   98.17%	  4096	   10.8749	 90.62%	      8.96%	  0.2666
   16	attn_output         	      2.51	  0.0001	     0.0152	  0.00	  0.00	  100.00%	  4096	   11.3642	 94.70%	      9.69%	  0.4799
   13	attn_output         	      2.05	  0.0000	     0.0206	  0.00	  0.00	  100.00%	  4096	   10.7836	 89.86%	     10.67%	  0.1896
   15	attn_output         	      1.87	  0.0000	     0.0083	  0.00	  0.00	  100.00%	  4096	   11.3357	 94.46%	     10.96%	  0.4507
   12	attn_output         	      1.44	  0.0000	     0.0063	  0.00	  0.00	  100.00%	  4096	   11.2342	 93.62%	      8.84%	  0.3197
   11	attn_output         	      1.39	  0.0000	     0.0152	  0.00	  0.00	   98.73%	  4096	   11.2077	 93.40%	      9.06%	  0.2539
    9	attn_output         	      1.36	  0.0000	     0.0101	  0.00	  0.00	  100.00%	  4096	   11.2700	 93.92%	      7.52%	  0.2147
   10	attn_output         	      1.31	  0.0000	     0.0181	  0.00	  0.00	   97.12%	  4096	   10.9660	 91.38%	      7.45%	  0.2803
    8	attn_output         	      1.23	  0.0000	     0.0246	  0.00	  0.00	  100.00%	  4096	   10.8383	 90.32%	      4.93%	  0.2069
    6	attn_output         	      1.16	  0.0000	     0.0109	  0.00	  0.00	   99.37%	  4096	   11.0116	 91.76%	     13.18%	  0.4098
    3	attn_output         	      0.86	  0.0000	     0.0058	  0.00	  0.00	   93.92%	  4096	   10.9332	 91.11%	      4.96%	  0.3137
    7	attn_output         	      0.84	  0.0000	     0.0051	  0.00	  0.00	   99.19%	  4096	   11.2488	 93.74%	     14.06%	  0.2212
    5	attn_output         	      0.64	  0.0000	     0.0044	  0.00	  0.00	   96.41%	  4096	   11.1373	 92.81%	      8.42%	  0.2070
    4	attn_output         	      0.57	  0.0000	     0.0051	  0.00	  0.00	   87.57%	  4096	   10.6950	 89.12%	      7.93%	  0.1934
    2	attn_output         	      0.27	  0.0000	     0.0055	  0.00	  0.00	   89.33%	  4096	   10.8291	 90.24%	      2.20%	  0.1491
    1	attn_output         	      0.20	  0.0000	     0.0018	  0.00	  0.00	   87.04%	  4096	   11.0617	 92.18%	      4.79%	  0.1045
    0	attn_output         	      0.08	  0.0000	     0.0035	  0.00	  0.00	   29.57%	  4096	    9.5423	 79.52%	      4.27%	  0.0000
