ggml_cuda_init: GGML_CUDA_FORCE_MMQ:    no
ggml_cuda_init: GGML_CUDA_FORCE_CUBLAS: no
ggml_cuda_init: found 8 CUDA devices:
  Device 0: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 1: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 2: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 3: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 4: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 5: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 6: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 7: NVIDIA L40S, compute capability 8.9, VMM: yes

Computing statistics for /shared/user68/workspace/bobchenyx/llama.cpp/imatrix.gguf (384 tensors)

 Layer	       Tensor	          Σ(Act²)	  Min	            Max	           μ	   σ	 % Active	N	   Entropy	E (norm)	ZD	  CosSim
   11	attn_k              	      3.02	  0.0000	     0.3034	  0.00	  0.01	  100.00%	  2048	    7.8123	 71.02%	      1.17%	  0.9767
    9	attn_k              	      2.97	  0.0001	     0.2776	  0.00	  0.01	  100.00%	  2048	    8.0784	 73.44%	      1.37%	  0.9444
    6	attn_k              	      2.96	  0.0000	     0.3175	  0.00	  0.01	   99.95%	  2048	    8.4361	 76.69%	      1.07%	  0.9756
   10	attn_k              	      2.67	  0.0000	     0.2438	  0.00	  0.01	   99.95%	  2048	    8.0587	 73.26%	      1.22%	  0.9611
    7	attn_k              	      2.01	  0.0000	     0.1811	  0.00	  0.01	  100.00%	  2048	    8.8199	 80.18%	      1.46%	  0.9669
    4	attn_k              	      2.00	  0.0000	     0.3291	  0.00	  0.01	   99.95%	  2048	    7.5789	 68.90%	      0.88%	  0.8971
    5	attn_k              	      1.79	  0.0001	     0.2688	  0.00	  0.01	  100.00%	  2048	    7.9279	 72.07%	      1.17%	  0.9556
    2	attn_k              	      0.55	  0.0000	     0.0926	  0.00	  0.00	   99.51%	  2048	    7.9502	 72.27%	      0.88%	  0.5869
    1	attn_k              	      0.32	  0.0000	     0.0493	  0.00	  0.00	   76.12%	  2048	    7.7386	 70.35%	      0.68%	  0.3151
    0	attn_k              	      0.15	  0.0000	     0.0116	  0.00	  0.00	   18.12%	  2048	    7.3403	 66.73%	      2.83%	  0.0000
   47	attn_output         	    600.14	  0.0008	    13.2989	  0.15	  0.68	  100.00%	  4096	    9.8248	 81.87%	      1.39%	  0.0173
   46	attn_output         	    118.00	  0.0006	    10.5715	  0.03	  0.23	  100.00%	  4096	    9.8883	 82.40%	      0.42%	  0.0581
   42	attn_output         	    106.30	  0.0000	     0.7834	  0.03	  0.03	  100.00%	  4096	   11.4081	 95.07%	      9.67%	  0.2758
   41	attn_output         	     65.21	  0.0000	     0.8360	  0.02	  0.03	  100.00%	  4096	   10.9137	 90.95%	      7.62%	  0.2523
   43	attn_output         	     56.25	  0.0014	     0.8598	  0.01	  0.03	  100.00%	  4096	   11.0755	 92.30%	      6.86%	  0.2210
   40	attn_output         	     55.63	  0.0017	     0.3476	  0.01	  0.02	  100.00%	  4096	   11.3298	 94.41%	      9.62%	  0.4799
   38	attn_output         	     44.04	  0.0006	     0.3681	  0.01	  0.02	  100.00%	  4096	   11.0823	 92.35%	      9.08%	  0.2531
